stationID,lat,long,averagePressure
50136,5258,12231,9612
50246,5221,12443,9699
50247,5202,12334,999999
50349,5142,12420,9541
50353,5143,12639,9918
50425,5015,12011,9456
50434,5029,12141,9272
50442,5024,12407,9687
50468,5015,12727,9932
50514,4935,11719,9364
50527,4913,11945,9418
50548,4912,12343,9793
50557,4910,12514,9843
50564,4926,12721,9848
50603,4840,11649,9491
50618,4813,11816,9388
50632,4846,12155,9264
50639,4800,12244,9767
50656,4817,12631,9813
50658,4803,12553,9847
50674,4834,12926,9645
50727,4710,11956,8989
50739,4720,12311,9912
50742,4748,12429,9940
50745,4723,12355,9963
50756,4727,12658,9852
50758,4711,12554,9845
50774,4744,12855,9843
50778,4740,13232,10061
50788,4714,13159,10051
50834,4636,12113,9550
50838,4605,12203,9814
50844,4624,12327,9974
50853,4637,12658,9926
50854,4623,12519,9960
50862,4659,12801,9884
50873,4647,13018,10038
50877,4618,12935,10020
50888,4619,13211,10037
50915,4531,11658,9179
50936,4538,12250,9957
50945,4530,12416,9978
50948,4500,12401,9968
50949,4505,12452,9981
50950,4542,12515,9964
50953,4545,12646,9973
50955,4523,12618,9946
50963,4558,12844,10014
50968,4513,12758,9921
50973,4545,13036,9845
50978,4518,13056,9802
50983,4546,13258,10020
51053,4803,8624,9576
51059,4726,8552,9061
51060,4742,8652,9645
51068,4707,8728,999999
51076,4744,8805,9342
51087,4659,8931,9260
51133,4644,8300,9569
51156,4647,8543,8726
51186,4640,9023,8808
51232,4511,8234,9812
51238,4454,8204,9582
51241,4556,8336,8963
51243,4537,8451,9665
51288,4522,9032,8349
51330,4458,8101,8664
51334,4436,8254,9832
51346,4426,8440,9641
51358,4417,8549,9657
51365,4412,8732,9684
51367,4408,8649,999999
51379,4401,8934,9278
51431,4357,8120,9417
51433,4348,8231,8936
51437,4309,8108,8155
51463,4347,8739,9121
51467,4244,8618,8291
51469,4327,8711,7664
51470,4353,8807,8068
51477,4321,8819,8931
51495,4313,9144,9368
51526,4214,8813,9115
51542,4302,8409,7581
51567,4205,8634,8965
51573,4256,8912,10128
51581,4251,9014,9702
51628,4110,8014,8913
51633,4147,8154,8785
51639,4114,8247,9046
51642,4147,8415,9048
51644,4143,8258,8944
51655,4121,8616,9148
51656,4145,8608,9104
51701,4031,7524,6654
51704,3943,7610,8708
51705,3943,7515,7838
51709,3928,7559,8717
51711,4056,7827,8019
51716,3948,7834,8893
51720,4030,7903,8849
51730,4033,8116,9008
51747,3900,8340,8910
51765,4038,8742,9191
51777,3902,8810,9142
51804,3746,7514,7004
51810,3855,7738,8832
51811,3826,7716,8773
51818,3737,7817,8625
51828,3708,7956,8622
51839,3704,8243,8584
51855,3809,8533,8755
51886,3815,9051,7129
51931,3651,8139,8571
52101,4336,9303,8332
52112,4346,9508,999999
52118,4316,9442,8269
52203,4249,9331,9309
52267,4157,10104,9089
52313,4132,9440,999999
52323,4148,9702,8237
52418,4009,9441,8875
52424,4032,9547,8840
52436,4016,9702,8472
52446,4018,9931,8837
52447,4000,9853,8742
52495,4010,10448,8682
52533,3946,9829,8527
52546,3922,9950,8659
52576,3913,10141,8489
52602,3845,9320,7269
52633,3848,9825,6762
52645,3825,9935,999999
52652,3856,10026,8519
52657,3811,10015,7270
52661,3848,10105,8233
52674,3814,10158,8020
52679,3755,10240,8470
52681,3838,10305,8639
52707,3648,9341,7278
52713,3751,9522,6923
52737,3722,9722,7088
52754,3720,10008,999999
52765,3723,10137,999999
52787,3712,10252,7039
52797,3711,10403,8367
52818,3625,9454,7247
52825,3626,9625,7260
52833,3655,9829,999999
52836,3618,9806,6913
52842,3647,9905,6994
52856,3616,10037,7217
52866,3643,10145,7715
52868,3602,10126,7766
52876,3619,10251,8186
52884,3621,10357,8330
52895,3634,10441,8605
52908,3513,9305,5788
52943,3535,9959,6812
52955,3535,10045,999999
52974,3531,10201,7531
52983,3552,10409,8116
52984,3535,10311,8081
52986,3522,10352,8105
52996,3523,10501,7575
53068,4339,11158,9051
53083,4437,11409,8806
53149,4232,11008,8774
53192,4401,11457,8879
53195,4351,11338,8969
53276,4224,11254,8854
53336,4134,10831,8712
53352,4142,11026,8625
53362,4132,11141,8503
53367,4119,11114,8385
53391,4154,11400,8502
53399,4109,11442,8601
53446,4040,10951,8958
53463,4049,11141,8961
53478,4000,11227,8655
53480,4102,11304,8577
53487,4006,11320,8952
53490,4026,11403,9012
53502,3947,10545,8995
53513,4044,10722,8983
53519,3913,10646,8929
53529,3906,10759,8624
53543,3950,10959,8537
53547,3906,10902,8696
53564,3923,11109,9182
53578,3922,11226,8905
53579,3901,11254,9181
53588,3857,11331,7788
53593,3950,11434,9124
53594,3927,11411,9092
53602,3850,10540,8438
53612,3759,10611,8887
53614,3828,10612,8909
53615,3848,10642,8918
53646,3816,10947,8862
53651,3849,11026,9097
53663,3855,11149,8601
53664,3828,11108,9017
53673,3844,11243,9217
53687,3747,11338,9304
53698,3802,11425,10071
53704,3732,10511,8786
53705,3729,10541,8830
53723,3748,10723,8659
53725,3735,10735,8637
53735,3737,10848,8678
53738,3655,10810,8685
53740,3756,10914,8916
53754,3730,11013,9108
53764,3730,11106,9089
53772,3747,11233,9274
53775,3726,11232,9263
53787,3704,11259,8983
53798,3704,11430,10076
53806,3634,10539,8146
53810,3658,10554,8669
53817,3600,10616,8248
53821,3634,10718,8759
53845,3636,10930,9080
53853,3642,11057,8975
53854,3635,11004,9246
53859,3606,11040,9194
53863,3702,11155,9312
53868,3604,11130,9642
53877,3610,11215,9186
53882,3603,11304,9039
53884,3631,11302,9163
53898,3603,11424,10082
53903,3558,10543,8082
53910,3540,10612,7218
53915,3533,10640,8664
53923,3544,10738,8586
53929,3512,10748,8814
53942,3549,10930,8863
53948,3457,10935,9589
53955,3528,11027,9635
53959,3503,11103,9740
53963,3539,11122,9660
53968,3517,11140,9580
53975,3529,11224,9408
53986,3519,11353,10081
54012,4434,11738,9000
54026,4434,12054,9834
54027,4359,11924,9579
54041,4448,12304,9962
54049,4415,12358,9924
54063,4458,12600,9906
54064,4423,12509,9942
54094,4434,12936,9857
54096,4423,13110,9465
54102,4357,11607,9003
54115,4336,11804,9222
54134,4336,12117,9864
54135,4336,12216,9938
54142,4330,12332,10016
54157,4310,12420,9958
54161,4354,12513,9867
54165,4333,12538,9885
54171,4342,12631,9877
54181,4342,12720,9802
54186,4322,12812,9528
54195,4318,12947,9859
54208,4211,11628,8749
54213,4256,11901,9411
54218,4216,11856,9490
54226,4220,12042,9682
54236,4223,12233,10060
54237,4204,12145,9957
54243,4247,12407,9967
54254,4232,12403,10039
54259,4206,12455,9883
54260,4255,12505,9854
54263,4258,12603,9753
54266,4232,12538,9752
54273,4259,12645,9842
54276,4221,12649,9508
54284,4209,12730,9247
54285,4225,12807,9467
54286,4232,12900,9584
54292,4252,12930,9843
54308,4112,11638,9312
54311,4158,11746,9130
54324,4133,12026,9952
54326,4123,11942,9659
54333,4158,12251,10125
54334,4131,12114,10083
54335,4141,12205,10114
54337,4108,12107,10082
54339,4105,12300,10072
54342,4144,12331,10106
54346,4119,12347,9944
54349,4118,12407,9911
54351,4155,12405,10026
54353,4144,12503,9779
54363,4141,12554,9684
54365,4117,12521,9867
54374,4148,12653,9710
54377,4106,12609,9956
54386,4125,12811,9241
54401,4047,11453,9330
54405,4025,11530,9499
54406,4027,11558,9593
54416,4023,11652,10085
54423,4059,11757,9712
54429,4012,11757,10101
54436,4025,11857,9863
54449,3951,11931,10164
54452,4048,11949,9726
54454,4020,12018,10134
54455,4035,12042,10154
54470,4101,12204,10162
54471,4039,12210,10164
54472,4053,12243,10137
54476,4010,12209,10135
54486,4017,12317,10074
54493,4043,12447,9855
54497,4003,12420,10152
54511,3948,11628,10126
54518,3907,11623,10161
54525,3944,11717,10163
54527,3905,11703,10169
54534,3939,11806,10134
54535,3917,11828,10167
54539,3926,11853,10160
54563,3938,12201,10025
54579,3916,12235,10126
54584,3943,12257,10121
54602,3851,11531,10146
54606,3814,11544,10144
54618,3805,11633,10152
54623,3903,11743,10165
54624,3822,11721,10163
54660,3849,12114,10095
54662,3854,12138,10058
54705,3722,11523,10136
