区站号,纬度,经度,累年年平均本站气压,累年年本站气压平均差,累年年本站气压标准差,累年年本站气压最大正距平,累年年本站气压最大负距平,累年年平均气温,累年气温年较差,累年年平均最高气温,累年年平均最低气温,累年年极端最高气温,累年年极端最高气温出现年份,累年年极端最高气温出现月份,累年年极端最高气温出现日期,累年年极端最低气温,累年年极端最低气温出现年份,累年年极端最低气温出现月份,累年年极端最低气温出现日期,累年年降温度日数（≥26.0℃）,累年年采暖度日数（≤18.0℃）,累年年平均气温平均差,累年年平均气温标准差,累年年平均气温最大正距平,累年年平均气温最大负距平,累年年平均水汽压,累年年水汽压平均差,累年年水汽压标准差,累年年水汽压最大正距平,累年年水汽压最大负距平,累年年平均相对湿度,累年年相对湿度平均差,累年年相对湿度标准差,累年年平均总云量,累年年平均低云量,累年年日平均总云量<2成（晴天）日数,累年年日平均总云量>8成（阴天）日数,累年年降水量,累年年最大日降水量,累年年最大日降水量出现年份,累年年最大日降水量出现月份,累年年最大日降水量出现日期,累年年日降水量≥0.1mm日数,累年年日降水量≥10.0mm日数,累年年日降水量≥25.0mm日数,累年年日降水量≥50.0mm日数,累年年降水量相对平均差,累年年降水量平均差,累年年降水量相对标准差,累年年降水量标准差,累年年降水量最大正距平百分率,累年年降水量最大负距平百分率,累年年冰雹日数,累年年大风日数,累年年沙尘暴日数,累年年雾日数,累年年雷暴日数,累年年霜日数,累年年降雪日数,累年年积雪日数,累年年能见度<1km出现频率,累年年能见度<10km出现频率,累年年蒸发量（小型蒸发）,累年年蒸发量（大型蒸发）,累年年最大积雪深度,累年年最大积雪深度出现年份,累年年最大积雪深度出现月份,累年年最大积雪深度出现日期,累年年平均风速,累年年最多风向（含静风）,累年年最多风向频率（含静风）,累年年最多风向（不含静风）,累年年最多风向频率（不含静风）,累年年平均地面温度,累年年极端最高地面温度,累年年极端最高地面温度出现年份,累年年极端最高地面温度出现月份,累年年极端最高地面温度出现日期,累年年极端最低地面温度,累年年极端最低地面温度出现年份,累年年极端最低地面温度出现月份,累年年极端最低地面温度出现日期,累年年平均5cm地温,累年年平均10cm地温,累年年平均15cm地温,累年年平均20cm地温,累年年平均40cm地温,累年年最大冻土深度,累年年最大冻土深度出现年份,累年年最大冻土深度出现月份,累年年最大冻土深度出现日期,累年年日照时数,累年年日照百分率
50136,5258,12231,9612,4,5,7,-13,-39,465,52,-120,393,2010,6,24,-475,1998,1,6,2,80318,5,6,8,-10,57,2,3,4,-4,69,2,2,56,18,601,906,4458,618,2003,8,9,1276,699,21,2,15,649,18,802,24,-36,8,64,0,524,252,2094,738,1669,3,7,9150,999999,44,2009,2,999005,19,17,26,13,9,-5,615,2005,7,2,-521,2001,2,999002,26,25,23,22,16,999999,999999,999999,999999,24644,56
50246,5221,12443,9699,5,6,11,-11,-22,437,56,-93,380,2010,6,25,-453,1996,12,18,5,74303,6,7,17,-15,59,2,3,5,-7,67,2,3,56,19,679,991,4763,614,1982,8,9,1210,673,23,2,15,733,20,953,50,-45,18,198,0,400,312,1928,703,1554,2,9,10083,999999,38,2004,3,999004,27,15,13,15,13,-1,670,2010,6,25,-463,1996,12,18,999999,999999,999999,999999,999999,256,999002,999003,999069,23082,53
50247,5202,12334,999999,999999,999999,999999,999999,-36,455,52,-111,397,2010,6,26,-479,2001,2,5,0,78996,6,7,15,-17,56,2,3,5,-5,70,2,3,999999,999999,999999,999999,4847,677,2010,7,31,1318,720,21,3,16,758,21,1031,54,-44,13,81,0,486,291,2060,798,1694,2,5,8952,999999,42,2004,3,999002,15,17,37,999008,11,-19,676,2010,6,26,-515,1984,2,3,999999,999999,999999,999999,999999,999999,999999,999999,999999,23279,54
50349,5142,12420,9541,4,5,9,-9,-23,431,58,-92,401,2010,6,25,-436,1994,1,12,3,74498,6,7,14,-17,57,2,2,5,-5,67,2,2,53,20,736,885,5289,933,1988,8,7,1253,700,31,3,12,644,16,863,39,-39,23,60,0,510,308,2112,848,1630,3,4,9451,999999,46,2004,3,11,21,17,24,10,15,-10,652,2010,6,25,-492,2001,2,5,999999,999999,999999,999999,999999,364,2002,3,27,23938,55
50353,5143,12639,9918,5,5,12,-8,-4,456,63,-62,405,2010,6,999002,-444,1996,1,23,28,68755,7,9,17,-21,65,2,3,6,-5,66,2,3,46,16,1027,676,4735,929,1991,7,22,1093,639,31,4,15,689,18,851,29,-38,14,76,0,246,267,1571,597,1512,1,4,9678,999999,43,2004,3,11,17,17,37,16,11,9,707,2010,6,28,-472,1999,1,31,999999,999999,999999,999999,999999,264,2001,3,999009,25648,58
50425,5015,12011,9456,4,5,9,-14,-20,474,50,-84,390,2010,6,24,-454,2001,1,10,10,74041,7,8,15,-19,57,2,3,6,-7,66,2,3,46,14,945,605,3615,640,1992,8,21,1112,538,21,2,19,675,23,848,49,-42,16,60,6,66,255,1977,740,1633,1,4,11944,999999,32,999002,999002,999005,18,17,37,13,10,2,684,2010,6,999002,-494,2001,2,3,999999,999999,999999,999999,16,900,0,0,999899,26373,60
50434,5029,12141,9272,6,7,9,-15,-40,452,46,-121,379,2010,6,27,-496,2001,2,5,0,80471,6,7,13,-16,54,2,2,5,-6,70,2,2,52,27,766,854,4405,737,1988,8,7,1325,653,20,2,19,830,22,985,48,-35,14,30,0,432,293,2287,901,1651,2,3,9647,999999,47,2004,3,10,21,17,23,999009,12,-16,701,2010,6,26,-508,1996,12,18,999999,999999,999999,999999,12,900,1987,999002,999037,24805,57
50442,5024,12407,9687,5,6,12,-8,-3,416,72,-68,397,2010,6,24,-437,1996,12,19,5,67512,6,8,14,-19,63,2,3,6,-7,67,2,3,50,19,860,787,5432,1165,1996,7,22,1084,662,42,7,16,859,20,1102,38,-40,15,54,0,328,316,1800,579,1430,2,4,10203,999999,46,2004,3,10,21,17,25,14,18,12,709,2010,6,27,-481,1987,12,30,999999,999999,999999,999999,33,288,2000,999002,999011,24289,56
50468,5015,12727,9932,5,6,11,-11,9,431,69,-45,393,2010,6,25,-405,1994,1,12,25,64193,6,8,16,-16,69,2,3,8,-5,65,2,3,50,20,879,774,5318,935,2006,7,22,1113,627,43,6,17,884,21,1133,48,-36,10,95,0,114,292,1695,605,1409,0,4,11401,999999,34,999002,999002,999006,28,15,25,15,25,23,648,2010,6,4,-427,2000,1,24,999999,999999,999999,999999,38,257,999002,999002,999033,26543,61
50514,4935,11719,9364,5,6,10,-11,-2,435,64,-64,405,2004,7,21,-438,2010,1,1,36,68017,7,9,19,-20,55,3,4,6,-7,62,3,3,41,13,1087,463,2830,975,1995,6,20,721,389,17,2,28,804,36,1024,107,-50,10,325,8,26,242,1633,516,1222,0,1,14902,999999,25,2004,3,28,37,11,13,11,13,21,680,2004,6,25,-465,1984,1,31,999999,999999,999999,999999,28,367,2009,999002,999014,29709,68
50527,4913,11945,9418,4,5,11,-11,-4,452,59,-59,395,2004,7,21,-429,2001,1,12,21,68679,7,9,17,-21,59,3,4,8,-9,67,3,4,46,18,917,573,3521,855,2004,8,3,1024,528,22,1,20,714,27,939,54,-65,10,158,4,49,213,1868,644,1338,0,2,11485,999999,34,2005,999002,999011,29,9,13,9,13,23,689,2005,6,27,-455,1982,1,6,999999,999999,999999,999999,34,299,2010,999002,999021,25586,57
50548,4912,12343,9793,4,5,11,-11,3,439,85,-67,394,2001,6,25,-444,1990,1,25,10,65832,6,8,17,-20,66,2,3,6,-5,66,3,3,47,15,950,674,5128,1014,2001,7,26,989,590,44,8,17,869,25,1261,95,-44,14,32,1,265,313,1975,492,1388,1,2,10780,999999,50,1983,4,3,13,17,50,16,8,17,685,2004,6,25,-513,1987,1,11,999999,999999,999999,999999,33,228,2000,999002,999025,26516,61
50557,4910,12514,9843,5,6,12,-12,9,444,73,-54,400,2001,6,25,-439,2001,1,11,32,64526,6,8,17,-20,68,2,3,7,-6,65,2,3,45,14,1059,645,4824,1055,1981,7,31,994,579,38,4,17,818,20,979,47,-40,7,188,2,90,301,1642,522,1332,0,9,13533,999999,28,2005,4,14,32,17,14,10,9,29,674,2010,6,28,-472,1990,1,22,999999,999999,999999,999999,999999,226,999001,999002,999009,26863,61
50564,4926,12721,9848,4,5,10,-9,2,437,73,-64,387,2010,6,24,-417,1990,1,24,13,66445,7,9,18,-19,69,2,3,7,-7,70,1,2,47,16,972,732,5432,1164,1999,7,27,1138,661,44,4,18,998,22,1214,41,-38,13,118,0,114,271,1906,609,1426,2,9,11155,999999,42,2010,12,999002,25,17,20,11,16,20,639,2008,6,17,-474,1987,12,30,999999,999999,999999,999999,36,239,2000,999002,999019,25395,58
50603,4840,11649,9491,4,4,8,-7,16,432,80,-40,425,2004,7,21,-401,999002,999002,999003,102,62589,7,9,20,-22,56,3,4,10,-6,59,3,3,42,12,1054,460,2446,861,1990,8,28,682,352,13,2,35,866,46,1122,143,-58,8,255,11,8,168,1172,375,1117,0,0,18193,999999,20,2010,12,31,33,15,14,15,14,40,675,2004,7,21,-428,2001,2,3,999999,999999,999999,999999,41,900,1984,999002,999061,30326,69
50618,4813,11816,9388,4,5,10,-7,7,447,70,-47,409,1999,7,26,-408,2001,1,10,73,65470,6,9,20,-22,56,3,3,9,-6,62,2,3,44,12,1022,530,2742,876,1996,6,19,881,445,15,1,23,628,33,904,115,-54,13,135,22,49,208,1674,585,1423,0,1,15519,999999,24,999002,999002,999008,29,10,10,10,10,32,706,2010,6,25,-462,1984,2,5,999999,999999,999999,999999,50,320,1985,999002,999017,28092,64
50632,4846,12155,9264,3,4,9,-8,-1,384,62,-58,368,999002,999002,999002,-362,2001,1,11,0,66491,6,7,17,-14,58,2,3,6,-6,64,1,2,48,18,912,728,4726,1275,1985,8,19,1079,593,32,4,19,874,23,1109,59,-53,25,306,0,167,305,1813,835,1395,0,1,11978,999999,35,1998,11,15,28,17,24,14,16,13,669,2007,7,4,-458,2001,2,4,999999,999999,999999,999999,21,321,1987,7,999009,27365,63
